组件号(985),车间,线别,产品,班别,工单,焊接机,电池片供应商,不良原因,不良位置,时间
11905110063337,M11,L2,CS3U-P,夜班,1190511006,1HJ2003,FN,EL裂片,D23,2019-05-08 00:00:10
11905110063285,M11,L2,CS3U-P,夜班,1190511006,1HJ2004,FN,玻璃纸,F12,2019-05-08 00:02:00
11905110063182,M11,L2,CS3U-P,夜班,1190511006,1HJ2002,FN,EL裂片,A23,2019-05-08 00:02:21
11905110063311,M11,L2,CS3U-P,夜班,1190511006,1HJ2005,FN,EL裂片,A1,2019-05-08 00:04:25
11905110063315,M11,L2,CS3U-P,夜班,1190511006,1HJ2005,FN,虚焊(焊带),B24,2019-05-08 00:05:17
11905110063348,M11,L2,CS3U-P,夜班,1190511006,1HJ2003,FN,玻璃纸,C24,2019-05-08 00:06:20
11905110063348,M11,L2,CS3U-P,夜班,1190511006,1HJ2003,FN,玻璃纸,E13,2019-05-08 00:06:20
11905110063348,M11,L2,CS3U-P,夜班,1190511006,1HJ2003,FN,玻璃纸,D24,2019-05-08 00:06:20
11905110063345,M11,L2,CS3U-P,夜班,1190511006,1HJ2003,FN,虚焊(焊带),A5,2019-05-08 00:06:36
11905110063393,M11,L2,CS3U-P,夜班,1190511006,1HJ2002,FN,虚焊(焊带),D13,2019-05-08 00:07:23
11905110063344,M11,L2,CS3U-P,夜班,1190511006,1HJ2003,FN,EL裂片,F16,2019-05-08 00:08:12
11905110063344,M11,L2,CS3U-P,夜班,1190511006,1HJ2003,FN,玻璃纸,C24,2019-05-08 00:08:12
11905110063343,M11,L2,CS3U-P,夜班,1190511006,1HJ2003,FN,正偏,C13,2019-05-08 00:13:09
11905110063394,M11,L2,CS3U-P,夜班,1190511006,1HJ2002,FN,EL裂片,F16,2019-05-08 00:16:01
11905110063394,M11,L2,CS3U-P,夜班,1190511006,1HJ2002,FN,玻璃纸,C1,2019-05-08 00:16:01
11905110063320,M11,L2,CS3U-P,夜班,1190511006,1HJ2005,FN,EL裂片,C24,2019-05-08 00:16:50
11905110063397,M11,L2,CS3U-P,夜班,1190511006,1HJ2002,FN,EL裂片,A5,2019-05-08 00:19:26
11905110063343,M11,L2,CS3U-P,夜班,1190511006,1HJ2003,FN,玻璃纸,B12,2019-05-08 00:21:40
11905110063440,M11,L2,CS3U-P,夜班,1190511006,1HJ2004,FN,其他,F23,2019-05-08 00:22:53
11905110063396,M11,L2,CS3U-P,夜班,1190511006,1HJ2002,FN,EL裂片,A1,2019-05-08 00:26:31
11905110063355,M11,L2,CS3U-P,夜班,1190511006,1HJ2003,FN,EL裂片,D9,2019-05-08 00:27:00
11905110063355,M11,L2,CS3U-P,夜班,1190511006,1HJ2003,FN,EL裂片,D11,2019-05-08 00:27:00
11905110063351,M11,L2,CS3U-P,夜班,1190511006,1HJ2003,FN,EL裂片,E13,2019-05-08 00:33:48
11905110063351,M11,L2,CS3U-P,夜班,1190511006,1HJ2003,FN,EL裂片,E24,2019-05-08 00:33:48
11905110063402,M11,L2,CS3U-P,夜班,1190511006,1HJ2002,FN,EL裂片,C24,2019-05-08 00:34:14
11905110063355,M11,L2,CS3U-P,夜班,1190511006,1HJ2003,FN,玻璃纸,D8,2019-05-08 00:37:59
11905110063355,M11,L2,CS3U-P,夜班,1190511006,1HJ2003,FN,玻璃纸,D9,2019-05-08 00:37:59
11905110063359,M11,L2,CS3U-P,夜班,1190511006,1HJ2003,FN,虚焊(焊带),B1,2019-05-08 00:38:11
11905110063359,M11,L2,CS3U-P,夜班,1190511006,1HJ2003,FN,虚焊(焊带),C18,2019-05-08 00:38:11
11905110063359,M11,L2,CS3U-P,夜班,1190511006,1HJ2003,FN,虚焊(焊带),C14,2019-05-08 00:38:11
