pic_name,class,row,col
3271320123115,yinlie,1,12
3271320123126,yinlie,6,2
3271320123215,yinlie,4,12
3271320123235,yinlie,4,1
3271320123242,yinlie,3,11
3271320123257,yinlie,6,11
3271320123258,yinlie,6,11
3271320123325,yinlie,2,3
3271320123345,yinlie,3,12
3271320123346,yinlie,1,1
3271320123362,yinlie,3,1
3271320123362,yinlie,5,12
3271320123436,yinlie,6,3
3271320123556,yinlie,4,5
3271320123574,yinlie,3,2
3271320123626,yinlie,5,3
3271320123660,yinlie,2,8
3271320123722,yinlie,1,4
3271320123751,yinlie,2,3
3271320123775,yinlie,5,12
3271320123793,yinlie,3,6
3271320123802,yinlie,6,1
3271320123806,yinlie,2,1
3271320123920,yinlie,1,2
3271320123941,yinlie,6,12
3271320124076,yinlie,5,12
3271320124076,yinlie,6,12
3271320124261,yinlie,4,10
3271320124369,yinlie,3,2
3271320124578,yinlie,4,2
3271320124616,yinlie,2,3
3271320124768,yinlie,2,11
3271320124783,yinlie,1,6
3271320124800,yinlie,4,6
3271321123140,yinlie,6,1
3271321123146,yinlie,1,11
3271321123158,yinlie,2,1
3271321123177,yinlie,5,5
3271321123265,yinlie,2,8
3271321123291,yinlie,3,1
3271321123328,yinlie,5,9
3271321123330,yinlie,3,1
3271321123369,yinlie,3,1
3271321123402,yinlie,3,7
3271321123402,yinlie,1,1
3271321123402,xuhan,5,7
3271321123431,yinlie,6,4
3271321123528,yinlie,5,1
3271321123629,yinlie,5,7
3271321123631,yinlie,1,8
3271321126066,yinlie,2,6
3271321123905,yinlie,1,5
3271321123987,yinlie,2,1
3271321124183,yinlie,1,12
3271321124184,yinlie,4,10
3271321124264,yinlie,6,4
3271321124287,yinlie,1,3
3271321124594,yinlie,1,11
3271321124595,yinlie,2,6
3271321124637,yinlie,6,5
3271321124637,xuhan,4,7
3271321124637,xuhan,4,10
3271321124735,yinlie,3,1
3271321124763,yinlie,3,1
3271321124799,yinlie,3,1
3271318124446,xuhan,2,3
3271318124446,xuhan,4,10
3271318124446,xuhan,4,12
3271318124446,xuhan,6,5
3271318124446,yinlie,2,1
3271320123018,xuhan,1,4
3271320123018,xuhan,2,2
3271320123018,xuhan,2,3
3271320123018,xuhan,2,5
3271320123024,xuhan,1,5
3271320123024,xuhan,1,6
3271320123024,xuhan,1,8
3271320123024,xuhan,1,9
3271320123024,xuhan,1,10
3271320123024,xuhan,1,11
3271320123024,xuhan,1,12
3271320123025,xuhan,5,1
3271320123025,xuhan,5,2
3271320123025,xuhan,5,3
3271320123025,xuhan,5,5
3271320123025,xuhan,5,6
3271320123025,xuhan,5,8
3271320123029,xuhan,3,4
3271320123029,xuhan,5,12
3271320123032,xuhan,4,11
3271320123032,xuhan,3,8
3271320123032_1,xuhan,3,8
3271320123047,xuhan,2,1
3271320123047,xuhan,2,2
3271320123047,xuhan,2,3
3271320123047,xuhan,2,4
3271320123047,xuhan,2,5
3271320123047,xuhan,2,6
3271320123047,xuhan,2,7
3271320123047,xuhan,2,8
3271320123047,xuhan,2,9
3271320123047,xuhan,2,10
3271320123048,xuhan,5,1
3271320123048,xuhan,5,2
3271320123048,xuhan,5,3
3271320123048,xuhan,5,4
3271320123048,xuhan,5,5
3271320123048,xuhan,5,6
3271320123048,xuhan,5,10
3271320123109,xuhan,6,1
3271320123148,xuhan,2,10
3271320123148,xuhan,2,12
3271320123148,xuhan,4,1
3271320123148,xuhan,4,3
3271320123179,xuhan,5,6
3271320123179,xuhan,5,10
3271320123179,xuhan,5,11
3271320123179_1,xuhan,5,6
3271320123190,xuhan,6,1
3271320123220,xuhan,4,1
3271320123269,xuhan,2,11
3271320123269_1,xuhan,2,11
3271320123282,xuhan,2,11
3271320123333,xuhan,5,8
3271320123364,xuhan,1,10
3271320123386,xuhan,2,3
3271320123386,xuhan,3,11
3271320123423,xuhan,6,3
3271320123489,xuhan,5,1
3271320123505,xuhan,2,8
3271320123505,xuhan,2,9
3271320123505,xuhan,2,10
3271320123525,xuhan,6,1
3271320123542,xuhan,5,3
3271320123568,xuhan,1,12
3271320123589,xuhan,3,7
3271320123616,xuhan,5,1
3271320123616,xuhan,5,5
3271320123771,xuhan,4,1
3271320123781,xuhan,3,2
3271320123781,xuhan,3,3
3271320123781,xuhan,3,4
3271320123781,xuhan,3,5
3271320123781,xuhan,3,6
3271320123784,xuhan,6,8
3271320123784,xuhan,6,10
3271320123796,xuhan,4,4
3271320123796,xuhan,4,5
3271320123796,xuhan,4,6
3271320123796,xuhan,4,7
3271320123827,xuhan,5,11
3271320123835,xuhan,6,1
3271320123855,xuhan,4,11
3271320123860,xuhan,6,1
3271320123862,xuhan,5,7
3271320123871,xuhan,6,1
3271320123913,xuhan,3,8
3271320123925,xuhan,2,12
3271320123933,xuhan,1,1
3271320123933,xuhan,1,2
3271320123933,xuhan,1,4
3271320123933,xuhan,1,5
3271320123933,xuhan,1,6
3271320123933,xuhan,5,7
3271320123936,xuhan,4,12
3271320123936,xuhan,6,12
3271320123936,xuhan,5,1
3271320123936,xuhan,5,3
3271320123936,xuhan,6,10
3271320124034,xuhan,6,2
3271320124292,xuhan,2,11
3271320124292,xuhan,4,3
3271320124292,xuhan,4,4
3271320124292,xuhan,4,6
3271320124292,xuhan,4,7
3271320124292,xuhan,4,8
3271320124351,xuhan,5,9
3271320124356,xuhan,2,1
3271320124356,xuhan,2,2
3271320124356,xuhan,2,4
3271320124464,xuhan,3,1
3271320124464,xuhan,3,2
3271320124464,xuhan,3,5
3271320124464,xuhan,3,6
3271320124464,xuhan,4,2
3271320124464,xuhan,4,7
3271320124464,xuhan,4,8
3271320124464,xuhan,4,10
3271320124464,xuhan,4,11
3271320124464,xuhan,4,12
3271320124464,xuhan,5,11
3271320124464,xuhan,5,12
3271320124494,xuhan,1,1
3271320124494,xuhan,1,7
3271320124494,xuhan,3,8
3271320124494,xuhan,3,10
3271320124494,xuhan,3,11
3271320124617,xuhan,2,8
3271320124617,xuhan,2,4
3271320124622,xuhan,2,1
3271320124645,xuhan,3,1
3271320124645,xuhan,5,6
3271320124645,xuhan,5,8
3271320124645,xuhan,5,9
3271320124645,xuhan,5,11
3271320124645,xuhan,5,12
3271320124763,xuhan,3,7
3271320124794,xuhan,3,2
3271320124803,xuhan,1,12
3271320127067,xuhan,1,1
3271320127067,xuhan,1,3
3271320127067,xuhan,1,4
3271320127067,xuhan,1,5
3271320127067,xuhan,1,6
3271320127067,xuhan,1,7
3271320127067,xuhan,1,8
3271320127067,xuhan,1,9
3271320127067,xuhan,1,10
3271320127067,xuhan,1,12
3271320127067,xuhan,2,11
3271320127067,xuhan,2,12
3271320127067,xuhan,3,2
3271320127067,xuhan,3,3
