序列号,过检时间,缺陷名,行,列
271904144010736,2019-05-11 21:33:17,yinlie,11,4
271904144010737,2019-05-11 21:34:58,yinlie,4,4
271904144010737,2019-05-11 21:34:58,yinlie,13,5
271904144010737,2019-05-11 21:34:58,yinlie,6,4
271904144010737,2019-05-11 21:34:58,yinlie,6,2
271904144010738,2019-05-11 21:38:39,yinlie,9,4
271904144011697,2019-05-11 21:38:45,yinlie,6,5
271904144011667,2019-05-11 21:38:51,yinlie,12,4
271904144011665,2019-05-11 21:38:56,xuhan,2,3
271904144011668,2019-05-11 21:39:07,yinlie,12,2
271904144011668,2019-05-11 21:39:07,yinlie,3,4
271904144011668,2019-05-11 21:39:07,yinlie,3,4
271904144011668,2019-05-11 21:39:07,yinlie,11,3
271904144011658,2019-05-11 21:39:09,/,0,0
271904144011660,2019-05-11 21:39:14,/,0,0
271904144011656,2019-05-11 21:39:19,yinlie,3,5
271904144011656,2019-05-11 21:39:19,yinlie,9,1
271904144011574,2019-05-11 21:39:30,yinlie,10,1
271904144011574,2019-05-11 21:39:30,yinlie,11,0
271904144011574,2019-05-11 21:39:30,yinlie,10,5
271904144011699,2019-05-11 21:39:31,yinlie,8,5
271904144011652,2019-05-11 21:39:36,yinlie,5,4
271904144011659,2019-05-11 21:39:42,yinlie,12,5
271904144011659,2019-05-11 21:39:42,shixiao,3,1
271904144011648,2019-05-11 21:39:48,yinlie,7,3
271904144011648,2019-05-11 21:39:48,yinlie,8,0
271904144011646,2019-05-11 21:39:53,/,0,0
271904144011551,2019-05-11 21:40:04,yinlie,10,5
271904144011551,2019-05-11 21:40:04,yinlie,11,4
271904144011551,2019-05-11 21:40:04,yinlie,13,4
271904144011647,2019-05-11 21:40:05,yinlie,5,5
271904144011647,2019-05-11 21:40:05,yinlie,3,2
271904144011647,2019-05-11 21:40:05,yinlie,8,1
271904144011647,2019-05-11 21:40:05,yinlie,12,5
271904144011647,2019-05-11 21:40:05,yinlie,13,2
271904144011647,2019-05-11 21:40:05,yinlie,4,2
271904144011647,2019-05-11 21:40:05,yinlie,6,5
271904144011647,2019-05-11 21:40:05,yinlie,12,3
271904144011707,2019-05-11 21:40:11,yinlie,12,0
271904144010883,2019-05-11 21:40:16,yinlie,12,5
271904144010883,2019-05-11 21:40:16,yinlie,5,3
271904144010883,2019-05-11 21:40:16,shixiao,10,1
271904144011700,2019-05-11 21:40:22,yinlie,5,5
271904144011700,2019-05-11 21:40:22,yinlie,2,0
271904144011700,2019-05-11 21:40:22,yinlie,9,4
271904144011684,2019-05-11 21:40:28,yinlie,11,0
271904144011684,2019-05-11 21:40:28,yinlie,5,5
271904144011684,2019-05-11 21:40:28,shixiao,13,3
271904144011603,2019-05-11 21:40:33,yinlie,6,1
271904144011603,2019-05-11 21:40:33,shixiao,3,2
271904144011603,2019-05-11 21:40:33,yinlie,6,5
271904144011603,2019-05-11 21:40:33,xuhan,8,4
271904144011603,2019-05-11 21:40:33,xuhan,3,5
271904144011982,2019-05-11 21:40:39,yinlie,2,0
271904144011982,2019-05-11 21:40:39,yinlie,9,0
271904144011591,2019-05-11 21:40:45,yinlie,4,0
271904144011591,2019-05-11 21:40:45,shixiao,10,0
271904144011591,2019-05-11 21:40:45,yinlie,8,3
271904144010766,2019-05-11 21:40:50,yinlie,13,4
271904144010766,2019-05-11 21:40:50,yinlie,5,1
271904144010766,2019-05-11 21:40:50,yinlie,3,4
271904144010766,2019-05-11 21:40:50,yinlie,11,0
271904144010766,2019-05-11 21:40:50,yinlie,10,4
271904144010766,2019-05-11 21:40:50,yinlie,2,2
271904144010766,2019-05-11 21:40:50,yinlie,8,5
271904144010766,2019-05-11 21:40:50,yinlie,3,5
271904144010764,2019-05-11 21:40:56,yinlie,8,0
271904144010764,2019-05-11 21:40:56,yinlie,3,2
271904144010764,2019-05-11 21:40:56,yinlie,7,0
271904144010764,2019-05-11 21:40:56,yinlie,7,0
271904144010764,2019-05-11 21:40:56,yinlie,6,0
271904144010764,2019-05-11 21:40:56,yinlie,7,1
271904144010764,2019-05-11 21:40:56,yinlie,7,1
271904144010764,2019-05-11 21:40:56,yinlie,9,3
271904144010764,2019-05-11 21:40:56,yinlie,6,1
271904144010764,2019-05-11 21:40:56,yinlie,2,3
271904144010764,2019-05-11 21:40:56,yinlie,11,0
271904144010764,2019-05-11 21:40:56,yinlie,10,0
271904144010764,2019-05-11 21:40:56,yinlie,10,0
271904144010764,2019-05-11 21:40:56,xuhan,5,3
271904144010744,2019-05-11 21:41:01,yinlie,12,0
271904144010760,2019-05-11 21:41:07,yinlie,8,3
271904144010760,2019-05-11 21:41:07,yinlie,3,0
271904144010760,2019-05-11 21:41:07,yinlie,4,1
271904144010760,2019-05-11 21:41:07,yinlie,5,5
271904144010760,2019-05-11 21:41:07,yinlie,2,5
271904144010760,2019-05-11 21:41:07,yinlie,11,5
271904144010760,2019-05-11 21:41:07,yinlie,7,3
271904144010760,2019-05-11 21:41:07,yinlie,2,3
271904144011981,2019-05-11 21:41:13,/,0,0
271904144011624,2019-05-11 21:41:19,yinlie,2,1
271904144011650,2019-05-11 21:41:24,/,0,0
271904144011641,2019-05-11 21:41:30,yinlie,5,5
271904144011641,2019-05-11 21:41:30,yinlie,13,3
271904144011641,2019-05-11 21:41:30,yinlie,3,5
271904144011641,2019-05-11 21:41:30,yinlie,9,0
271904144011689,2019-05-11 21:41:36,yinlie,6,5
271904144011689,2019-05-11 21:41:36,yinlie,9,3
271904144011689,2019-05-11 21:41:36,yinlie,9,3
271904144011698,2019-05-11 21:41:46,yinlie,3,0
271904144011670,2019-05-11 21:41:48,yinlie,12,5
271904144011670,2019-05-11 21:41:48,yinlie,2,0
271904144011670,2019-05-11 21:41:48,yinlie,3,0
271904144011670,2019-05-11 21:41:48,yinlie,3,0
271904144011670,2019-05-11 21:41:48,yinlie,7,1
271904144013290,2019-05-11 21:41:55,/,0,0
271904144013233,2019-05-11 21:42:01,/,0,0
271904144013155,2019-05-11 21:42:08,/,0,0
271904144013315,2019-05-11 21:42:19,/,0,0
271904144013231,2019-05-11 21:42:21,/,0,0
271904144012802,2019-05-11 21:42:26,/,0,0
271904144012630,2019-05-11 21:42:33,yinlie,3,2
271904144012432,2019-05-11 21:42:39,/,0,0
271904144012715,2019-05-11 21:42:45,/,0,0
271904144012367,2019-05-11 21:42:50,/,0,0
271904144012825,2019-05-11 21:43:01,/,0,0
271904144013318,2019-05-11 21:43:03,yinlie,9,5
271904144013359,2019-05-11 21:43:09,/,0,0
271904144013357,2019-05-11 21:43:16,yinlie,10,1
271904144013355,2019-05-11 21:43:22,/,0,0
271904144013500,2019-05-11 21:43:28,/,0,0
271904144013498,2019-05-11 21:43:39,/,0,0
271904144013495,2019-05-11 21:43:40,/,0,0
271904144013492,2019-05-11 21:43:52,/,0,0
271904144013504,2019-05-11 21:43:54,yinlie,9,2
271904144013369,2019-05-11 21:43:59,/,0,0
271904144013386,2019-05-11 21:44:06,yinlie,8,5
