Record,Date/Time,10,Tamb(C),Rh(%),Pres(hPa),Tir(¡æ),Rain,Vint(cm),Lqint(mm),CloudBase(km),0.000km,0.050km,0.100km,0.150km,0.200km,0.250km,0.300km,0.350km,0.400km,0.450km,0.500km,0.600km,0.700km,0.800km,0.900km,1.000km,1.100km,1.200km,1.300km,1.400km,1.500km,1.600km,1.700km,1.800km,1.900km,2.000km,2.250km,2.500km,2.750km,3.000km,3.250km,3.500km,3.750km,4.000km,4.250km,4.500km,4.750km,5.000km,5.250km,5.500km,5.750km,6.000km,6.250km,6.500km,6.750km,7.000km,7.250km,7.500km,7.750km,8.000km,8.250km,8.500km,8.750km,9.000km,9.250km,9.500km,9.750km,10.000km,VIS,MIN,ÎÂ¶È²î
2,2018-08-02 00:02:45,11,28.500,80.400,1001.800,-3.05,0,4.735,0.136,5.984,28.500,28.197,27.868,27.502,27.175,26.879,26.600,26.316,26.013,25.789,25.473,25.032,24.531,24.105,23.682,23.239,22.729,22.211,21.695,21.259,20.762,20.230,19.660,19.083,18.576,17.825,16.700,15.352,14.084,12.853,11.556,10.272,8.924,7.538,6.167,4.706,3.302,1.951,0.665,-0.670,-1.893,-3.127,-4.483,-5.945,-7.394,-8.812,-9.953,-11.160,-12.368,-13.682,-15.112,-16.640,-18.102,-19.546,-21.105,-22.733,-24.434,-26.207,10000,10000,-4.9719999999999995
6,2018-08-02 00:06:37,11,28.500,80.900,1001.800,-3.28,0,4.752,0.148,6.048,28.500,28.075,27.693,27.286,26.909,26.575,26.265,25.954,25.596,25.340,24.974,24.477,23.927,23.484,23.029,22.567,22.037,21.497,20.953,20.537,20.065,19.542,18.981,18.415,17.939,17.245,16.203,14.926,13.706,12.564,11.364,10.173,8.889,7.547,6.197,4.755,3.376,2.044,0.756,-0.581,-1.798,-3.019,-4.384,-5.825,-7.247,-8.650,-9.794,-10.941,-12.089,-13.397,-14.834,-16.332,-17.719,-19.077,-20.547,-22.148,-23.853,-25.561,10000,10000,-4.681000000000001
10,2018-08-02 00:10:30,11,28.400,80.900,1001.700,-3.26,0,4.756,0.156,6.141,28.400,28.322,28.103,27.813,27.575,27.347,27.127,26.901,26.695,26.546,26.331,26.009,25.632,25.304,24.992,24.643,24.226,23.819,23.412,23.009,22.540,22.034,21.498,20.936,20.414,19.618,18.417,17.003,15.614,14.233,12.767,11.357,9.875,8.401,6.961,5.450,3.965,2.581,1.303,-0.006,-1.234,-2.492,-3.850,-5.325,-6.802,-8.225,-9.348,-10.605,-11.884,-13.183,-14.646,-16.263,-17.848,-19.406,-21.136,-22.851,-24.590,-26.484,10000,10000,-5.384999999999998
14,2018-08-02 00:14:24,11,28.500,80.300,1001.700,24.67,0,4.798,0.158,0.729,28.500,28.252,27.953,27.616,27.318,27.038,26.772,26.501,26.225,26.015,25.715,25.287,24.795,24.364,23.946,23.489,22.967,22.440,21.920,21.453,20.923,20.379,19.788,19.189,18.651,17.862,16.665,15.263,13.980,12.716,11.383,10.052,8.673,7.256,5.885,4.420,3.003,1.638,0.354,-0.959,-2.186,-3.430,-4.784,-6.268,-7.749,-9.185,-10.327,-11.570,-12.810,-14.127,-15.560,-17.101,-18.591,-20.074,-21.675,-23.305,-24.979,-26.774,10000,10000,-5.145999999999999
18,2018-08-02 00:18:17,11,28.600,80.400,1001.700,13.37,0,4.770,0.166,2.771,28.600,28.191,27.818,27.424,27.057,26.732,26.428,26.120,25.770,25.514,25.149,24.653,24.094,23.626,23.149,22.662,22.104,21.540,20.975,20.529,20.022,19.485,18.897,18.314,17.808,17.086,15.994,14.685,13.466,12.315,11.100,9.875,8.579,7.228,5.894,4.451,3.067,1.732,0.457,-0.881,-2.100,-3.322,-4.679,-6.140,-7.567,-8.978,-10.124,-11.300,-12.472,-13.776,-15.198,-16.691,-18.098,-19.472,-20.952,-22.541,-24.222,-25.926,10000,10000,-4.770999999999999
22,2018-08-02 00:22:09,11,28.500,80.600,1001.700,-3.47,0,4.821,0.148,6.055,28.500,28.296,28.018,27.693,27.412,27.145,26.894,26.633,26.377,26.181,25.904,25.503,25.044,24.642,24.252,23.822,23.325,22.830,22.338,21.886,21.374,20.839,20.261,19.670,19.135,18.345,17.146,15.738,14.422,13.131,11.768,10.417,9.007,7.574,6.188,4.715,3.279,1.909,0.623,-0.692,-1.925,-3.174,-4.530,-6.005,-7.483,-8.916,-10.059,-11.304,-12.550,-13.858,-15.298,-16.862,-18.376,-19.873,-21.497,-23.148,-24.837,-26.656,10000,10000,-5.213999999999999
26,2018-08-02 00:26:02,11,28.600,80.500,1001.600,4.4,0,4.829,0.142,4.559,28.600,28.413,28.146,27.828,27.550,27.293,27.048,26.792,26.540,26.351,26.078,25.689,25.237,24.836,24.446,24.018,23.522,23.029,22.541,22.089,21.569,21.029,20.447,19.858,19.322,18.521,17.306,15.886,14.563,13.249,11.854,10.482,9.065,7.622,6.226,4.741,3.295,1.914,0.636,-0.681,-1.918,-3.180,-4.535,-6.026,-7.505,-8.949,-10.087,-11.350,-12.609,-13.923,-15.367,-16.936,-18.463,-19.970,-21.613,-23.273,-24.973,-26.796,10000,10000,-5.272
30,2018-08-02 00:29:56,11,28.500,80.800,1001.600,-2.98,0,4.903,0.147,6.084,28.500,28.056,27.677,27.267,26.878,26.560,26.255,25.953,25.583,25.345,24.983,24.521,23.993,23.591,23.164,22.748,22.249,21.766,21.273,20.915,20.482,19.976,19.439,18.910,18.453,17.780,16.778,15.558,14.318,13.165,11.924,10.739,9.447,8.112,6.746,5.274,3.855,2.522,1.271,-0.075,-1.285,-2.520,-3.896,-5.349,-6.734,-8.121,-9.241,-10.374,-11.521,-12.812,-14.267,-15.778,-17.189,-18.512,-19.992,-21.617,-23.383,-25.058,10000,10000,-4.615000000000002
34,2018-08-02 00:33:49,11,28.500,80.400,1001.500,-0.67,0,4.928,0.142,5.467,28.500,28.262,27.964,27.624,27.335,27.057,26.799,26.530,26.265,26.057,25.765,25.339,24.855,24.433,24.025,23.576,23.058,22.541,22.024,21.559,21.035,20.492,19.906,19.306,18.771,17.982,16.796,15.396,14.097,12.825,11.497,10.176,8.792,7.373,5.994,4.533,3.123,1.765,0.476,-0.847,-2.081,-3.325,-4.676,-6.150,-7.629,-9.061,-10.206,-11.445,-12.684,-13.991,-15.414,-16.961,-18.455,-19.944,-21.537,-23.163,-24.829,-26.644,10000,10000,-5.157
38,2018-08-02 00:37:42,11,28.500,80.700,1001.500,-3.62,0,4.893,0.136,6.099,28.500,28.309,28.037,27.714,27.438,27.180,26.935,26.679,26.429,26.243,25.974,25.584,25.133,24.736,24.352,23.934,23.446,22.963,22.481,22.036,21.525,20.991,20.416,19.829,19.295,18.501,17.303,15.897,14.572,13.265,11.881,10.525,9.109,7.673,6.282,4.802,3.361,1.992,0.720,-0.600,-1.832,-3.084,-4.435,-5.917,-7.390,-8.821,-9.955,-11.206,-12.460,-13.761,-15.195,-16.763,-18.290,-19.792,-21.424,-23.078,-24.773,-26.596,10000,10000,-5.236000000000001
