Record,Date/Time,10,Tamb(C),Rh(%),Pres(hPa),Tir(¡æ),Rain,Vint(cm),Lqint(mm),CloudBase(km),0.000km,0.050km,0.100km,0.150km,0.200km,0.250km,0.300km,0.350km,0.400km,0.450km,0.500km,0.600km,0.700km,0.800km,0.900km,1.000km,1.100km,1.200km,1.300km,1.400km,1.500km,1.600km,1.700km,1.800km,1.900km,2.000km,2.250km,2.500km,2.750km,3.000km,3.250km,3.500km,3.750km,4.000km,4.250km,4.500km,4.750km,5.000km,5.250km,5.500km,5.750km,6.000km,6.250km,6.500km,6.750km,7.000km,7.250km,7.500km,7.750km,8.000km,8.250km,8.500km,8.750km,9.000km,9.250km,9.500km,9.750km,10.000km
1,2018-08-02 00:02:45,21,N31.163,E121.776
2,2018-08-02 00:02:45,11,28.500,80.400,1001.800,-3.05,0,4.735,0.136,5.984,28.500,28.197,27.868,27.502,27.175,26.879,26.600,26.316,26.013,25.789,25.473,25.032,24.531,24.105,23.682,23.239,22.729,22.211,21.695,21.259,20.762,20.230,19.660,19.083,18.576,17.825,16.700,15.352,14.084,12.853,11.556,10.272,8.924,7.538,6.167,4.706,3.302,1.951,0.665,-0.670,-1.893,-3.127,-4.483,-5.945,-7.394,-8.812,-9.953,-11.160,-12.368,-13.682,-15.112,-16.640,-18.102,-19.546,-21.105,-22.733,-24.434,-26.207
3,2018-08-02 00:02:45,12,28.500,80.400,1001.800,-3.05,0,4.735,0.136,5.984,22.649,22.978,22.838,22.551,22.270,21.997,21.702,21.377,21.028,20.694,20.245,19.586,18.759,17.960,17.289,16.725,16.152,15.536,14.904,14.307,13.796,13.317,12.771,12.160,11.673,11.001,10.059,8.859,7.748,6.693,5.771,5.000,4.325,3.751,3.282,2.914,2.628,2.390,2.172,1.960,1.760,1.587,1.445,1.329,1.224,1.115,0.998,0.878,0.758,0.647,0.545,0.451,0.365,0.292,0.230,0.180,0.139,0.108
4,2018-08-02 00:02:45,13,28.500,80.400,1001.800,-3.05,0,4.735,0.136,5.984,80.401,82.935,83.933,84.564,85.030,85.377,85.543,85.604,85.640,85.337,84.977,84.271,83.019,81.421,80.281,79.646,79.188,78.465,77.543,76.341,75.765,75.440,74.796,73.680,72.874,71.813,70.230,67.098,63.405,59.098,55.241,51.902,48.913,46.381,44.379,43.390,42.985,42.825,42.488,42.041,41.133,40.463,40.593,41.511,42.494,43.015,41.941,40.427,38.323,36.211,34.118,31.874,29.092,26.198,23.503,21.017,18.809,17.129
5,2018-08-02 00:02:45,14,28.500,80.400,1001.800,-3.05,0,4.735,0.136,5.984,0.011,0.015,0.018,0.020,0.024,0.024,0.027,0.027,0.030,0.030,0.034,0.037,0.038,0.038,0.036,0.032,0.032,0.032,0.031,0.032,0.031,0.030,0.027,0.028,0.024,0.025,0.022,0.022,0.020,0.021,0.019,0.018,0.016,0.017,0.015,0.015,0.015,0.013,0.013,0.013,0.013,0.011,0.010,0.010,0.010,0.010,0.007,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
6,2018-08-02 00:06:37,11,28.500,80.900,1001.800,-3.28,0,4.752,0.148,6.048,28.500,28.075,27.693,27.286,26.909,26.575,26.265,25.954,25.596,25.340,24.974,24.477,23.927,23.484,23.029,22.567,22.037,21.497,20.953,20.537,20.065,19.542,18.981,18.415,17.939,17.245,16.203,14.926,13.706,12.564,11.364,10.173,8.889,7.547,6.197,4.755,3.376,2.044,0.756,-0.581,-1.798,-3.019,-4.384,-5.825,-7.247,-8.650,-9.794,-10.941,-12.089,-13.397,-14.834,-16.332,-17.719,-19.077,-20.547,-22.148,-23.853,-25.561
7,2018-08-02 00:06:37,12,28.500,80.900,1001.800,-3.28,0,4.752,0.148,6.048,22.789,23.115,22.971,22.680,22.395,22.119,21.817,21.487,21.130,20.787,20.328,19.656,18.814,18.002,17.323,16.756,16.176,15.550,14.910,14.308,13.793,13.315,12.765,12.151,11.660,10.986,10.042,8.837,7.723,6.667,5.745,4.974,4.301,3.728,3.263,2.898,2.613,2.376,2.158,1.945,1.748,1.576,1.436,1.320,1.215,1.106,0.990,0.869,0.752,0.643,0.542,0.447,0.364,0.291,0.229,0.179,0.139,0.108
8,2018-08-02 00:06:37,13,28.500,80.900,1001.800,-3.28,0,4.752,0.148,6.048,80.900,83.989,85.239,86.068,86.776,87.308,87.614,87.795,88.082,87.904,87.748,87.257,86.156,84.538,83.486,82.917,82.523,81.839,80.983,79.614,78.893,78.526,77.810,76.585,75.598,74.241,72.239,68.693,64.690,59.927,55.659,51.956,48.749,46.080,44.033,43.009,42.525,42.302,41.948,41.478,40.576,39.871,40.050,40.866,41.720,42.147,41.101,39.386,37.202,35.188,33.185,30.882,28.116,25.112,22.327,19.880,17.884,16.180
9,2018-08-02 00:06:37,14,28.500,80.900,1001.800,-3.28,0,4.752,0.148,6.048,0.013,0.018,0.021,0.023,0.027,0.026,0.030,0.030,0.033,0.034,0.037,0.040,0.041,0.041,0.039,0.034,0.035,0.034,0.033,0.035,0.033,0.032,0.029,0.030,0.026,0.027,0.024,0.024,0.022,0.023,0.021,0.019,0.017,0.018,0.016,0.016,0.015,0.014,0.014,0.013,0.013,0.012,0.010,0.010,0.010,0.011,0.007,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
10,2018-08-02 00:10:30,11,28.400,80.900,1001.700,-3.26,0,4.756,0.156,6.141,28.400,28.322,28.103,27.813,27.575,27.347,27.127,26.901,26.695,26.546,26.331,26.009,25.632,25.304,24.992,24.643,24.226,23.819,23.412,23.009,22.540,22.034,21.498,20.936,20.414,19.618,18.417,17.003,15.614,14.233,12.767,11.357,9.875,8.401,6.961,5.450,3.965,2.581,1.303,-0.006,-1.234,-2.492,-3.850,-5.325,-6.802,-8.225,-9.348,-10.605,-11.884,-13.183,-14.646,-16.263,-17.848,-19.406,-21.136,-22.851,-24.590,-26.484
